#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,B,,,,,,,,,,,,,,,
2,Z,,,,,,,,,,,,,,,
3,X,,,,,,,,,,,,,,,
4,T,,,,,,,,,,,,,,,
5,R,,,,,,,,,,,,,,,
6,M,,,,,,,,,,,,,,,
7,K,,,,,,,,,,,,,,,
8,H,,,,,,,,,,,,,,,
9,E,,,,,,,,,,,,,,,
10,A,,,,,,,,,,,,,,,
11,Y,,,,,,,,,,,,,,,
12,U,,,,,,,,,,,,,,,
13,S,,,,,,,,,,,,,,,
14,P,,,,,,,,,,,,,,,
15,L,,,,,,,,,,,,,,,
16,J,,,,,,,,,,,,,,,
17,G,,,,,,,,,,,,,,,
18,D,,,,,,,,,,,,,,,
19,B,,,,,,,,,,,,,,,
20,X,,,,,,,,,,,,,,,
21,T,,,,,,,,,,,,,,,
22,R,,,,,,,,,,,,,,,
23,M,,,,,,,,,,,,,,,
24,K,,,,,,,,,,,,,,,
25,H,,,,,,,,,,,,,,,
26,E,,,,,,,,,,,,,,,
27,C,,,,,,,,,,,,,,,
28,A,,,,,,,,,,,,,,,
29,Y,,,,,,,,,,,,,,,
30,S,,,,,,,,,,,,,,,
31,P,,,,,,,,,,,,,,,
32,L,,,,,,,,,,,,,,,
33,J,,,,,,,,,,,,,,,
34,G,,,,,,,,,,,,,,,
35,D,,,,,,,,,,,,,,,
36,B,,,,,,,,,,,,,,,
37,Z,,,,,,,,,,,,,,,
38,X,,,,,,,,,,,,,,,
39,T,,,,,,,,,,,,,,,
40,M,,,,,,,,,,,,,,,
41,K,,,,,,,,,,,,,,,
42,H,,,,,,,,,,,,,,,
43,E,,,,,,,,,,,,,,,
44,C,,,,,,,,,,,,,,,
45,A,,,,,,,,,,,,,,,
46,Y,,,,,,,,,,,,,,,
47,U,,,,,,,,,,,,,,,
48,S,,,,,,,,,,,,,,,
49,P,,,,,,,,,,,,,,,
50,J,,,,,,,,,,,,,,,
51,G,,,,,,,,,,,,,,,
52,D,,,,,,,,,,,,,,,
53,B,,,,,,,,,,,,,,,
54,Z,,,,,,,,,,,,,,,
55,X,,,,,,,,,,,,,,,
56,T,,,,,,,,,,,,,,,
57,R,,,,,,,,,,,,,,,
58,M,,,,,,,,,,,,,,,
59,K,,,,,,,,,,,,,,,
60,E,,,,,,,,,,,,,,,
61,C,,,,,,,,,,,,,,,
62,A,,,,,,,,,,,,,,,
63,Y,,,,,,,,,,,,,,,
64,U,,,,,,,,,,,,,,,
65,S,,,,,,,,,,,,,,,
66,P,,,,,,,,,,,,,,,
67,L,,,,,,,,,,,,,,,
68,J,,,,,,,,,,,,,,,
69,G,,,,,,,,,,,,,,,
70,B,,,,,,,,,,,,,,,
71,Z,,,,,,,,,,,,,,,
72,X,,,,,,,,,,,,,,,
73,T,,,,,,,,,,,,,,,
74,R,,,,,,,,,,,,,,,
75,M,,,,,,,,,,,,,,,
76,K,,,,,,,,,,,,,,,
77,H,,,,,,,,,,,,,,,
78,E,,,,,,,,,,,,,,,
79,C,,,,,,,,,,,,,,,
80,Y,,,,,,,,,,,,,,,
81,U,,,,,,,,,,,,,,,
82,S,,,,,,,,,,,,,,,
83,P,,,,,,,,,,,,,,,
84,L,,,,,,,,,,,,,,,
85,J,,,,,,,,,,,,,,,
86,G,,,,,,,,,,,,,,,
87,D,,,,,,,,,,,,,,,
88,B,,,,,,,,,,,,,,,
89,Z,,,,,,,,,,,,,,,
90,T,,,,,,,,,,,,,,,
91,R,,,,,,,,,,,,,,,
92,M,,,,,,,,,,,,,,,
93,K,,,,,,,,,,,,,,,
94,H,,,,,,,,,,,,,,,
95,E,,,,,,,,,,,,,,,
96,C,,,,,,,,,,,,,,,
97,A,,,,,,,,,,,,,,,
98,Y,,,,,,,,,,,,,,,
99,U,,,,,,,,,,,,,,,
