#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,C,,,,,,,,,,,,,,,
2,A,,,,,,,,,,,,,,,
3,Y,,,,,,,,,,,,,,,
4,U,,,,,,,,,,,,,,,
5,S,,,,,,,,,,,,,,,
6,P,,,,,,,,,,,,,,,
7,L,,,,,,,,,,,,,,,
8,J,,,,,,,,,,,,,,,
9,G,,,,,,,,,,,,,,,
10,B,,,,,,,,,,,,,,,
11,Z,,,,,,,,,,,,,,,
12,X,,,,,,,,,,,,,,,
13,T,,,,,,,,,,,,,,,
14,R,,,,,,,,,,,,,,,
15,M,,,,,,,,,,,,,,,
16,K,,,,,,,,,,,,,,,
17,H,,,,,,,,,,,,,,,
18,E,,,,,,,,,,,,,,,
19,C,,,,,,,,,,,,,,,
20,Y,,,,,,,,,,,,,,,
21,U,,,,,,,,,,,,,,,
22,S,,,,,,,,,,,,,,,
23,P,,,,,,,,,,,,,,,
24,L,,,,,,,,,,,,,,,
25,J,,,,,,,,,,,,,,,
26,G,,,,,,,,,,,,,,,
27,D,,,,,,,,,,,,,,,
28,B,,,,,,,,,,,,,,,
29,Z,,,,,,,,,,,,,,,
30,T,,,,,,,,,,,,,,,
31,R,,,,,,,,,,,,,,,
32,M,,,,,,,,,,,,,,,
33,K,,,,,,,,,,,,,,,
34,H,,,,,,,,,,,,,,,
35,E,,,,,,,,,,,,,,,
36,C,,,,,,,,,,,,,,,
37,A,,,,,,,,,,,,,,,
38,Y,,,,,,,,,,,,,,,
39,U,,,,,,,,,,,,,,,
40,P,,,,,,,,,,,,,,,
41,L,,,,,,,,,,,,,,,
42,J,,,,,,,,,,,,,,,
43,G,,,,,,,,,,,,,,,
44,D,,,,,,,,,,,,,,,
45,B,,,,,,,,,,,,,,,
46,Z,,,,,,,,,,,,,,,
47,X,,,,,,,,,,,,,,,
48,T,,,,,,,,,,,,,,,
49,R,,,,,,,,,,,,,,,
50,K,,,,,,,,,,,,,,,
51,H,,,,,,,,,,,,,,,
52,E,,,,,,,,,,,,,,,
53,C,,,,,,,,,,,,,,,
54,A,,,,,,,,,,,,,,,
55,Y,,,,,,,,,,,,,,,
56,U,,,,,,,,,,,,,,,
57,S,,,,,,,,,,,,,,,
58,P,,,,,,,,,,,,,,,
59,L,,,,,,,,,,,,,,,
60,G,,,,,,,,,,,,,,,
61,D,,,,,,,,,,,,,,,
62,B,,,,,,,,,,,,,,,
63,Z,,,,,,,,,,,,,,,
64,X,,,,,,,,,,,,,,,
65,T,,,,,,,,,,,,,,,
66,R,,,,,,,,,,,,,,,
67,M,,,,,,,,,,,,,,,
68,K,,,,,,,,,,,,,,,
69,H,,,,,,,,,,,,,,,
70,C,,,,,,,,,,,,,,,
71,A,,,,,,,,,,,,,,,
72,Y,,,,,,,,,,,,,,,
73,U,,,,,,,,,,,,,,,
74,S,,,,,,,,,,,,,,,
75,P,,,,,,,,,,,,,,,
76,L,,,,,,,,,,,,,,,
77,J,,,,,,,,,,,,,,,
78,G,,,,,,,,,,,,,,,
79,D,,,,,,,,,,,,,,,
80,Z,,,,,,,,,,,,,,,
81,X,,,,,,,,,,,,,,,
82,T,,,,,,,,,,,,,,,
83,R,,,,,,,,,,,,,,,
84,M,,,,,,,,,,,,,,,
85,K,,,,,,,,,,,,,,,
86,H,,,,,,,,,,,,,,,
87,E,,,,,,,,,,,,,,,
88,C,,,,,,,,,,,,,,,
89,A,,,,,,,,,,,,,,,
90,U,,,,,,,,,,,,,,,
91,S,,,,,,,,,,,,,,,
92,P,,,,,,,,,,,,,,,
93,L,,,,,,,,,,,,,,,
94,J,,,,,,,,,,,,,,,
95,G,,,,,,,,,,,,,,,
96,D,,,,,,,,,,,,,,,
97,B,,,,,,,,,,,,,,,
98,Z,,,,,,,,,,,,,,,
99,X,,,,,,,,,,,,,,,
100,A,,,,,,,,,,,,,,,
101,Y,,,,,,,,,,,,,,,
102,U,,,,,,,,,,,,,,,
103,S,,,,,,,,,,,,,,,
104,P,,,,,,,,,,,,,,,
105,L,,,,,,,,,,,,,,,
106,J,,,,,,,,,,,,,,,
107,G,,,,,,,,,,,,,,,
108,D,,,,,,,,,,,,,,,
109,B,,,,,,,,,,,,,,,
110,X,,,,,,,,,,,,,,,
111,T,,,,,,,,,,,,,,,
112,R,,,,,,,,,,,,,,,
113,M,,,,,,,,,,,,,,,
114,K,,,,,,,,,,,,,,,
115,H,,,,,,,,,,,,,,,
116,E,,,,,,,,,,,,,,,
117,C,,,,,,,,,,,,,,,
118,A,,,,,,,,,,,,,,,
119,Y,,,,,,,,,,,,,,,
120,S,,,,,,,,,,,,,,,
121,P,,,,,,,,,,,,,,,
122,L,,,,,,,,,,,,,,,
123,J,,,,,,,,,,,,,,,
124,G,,,,,,,,,,,,,,,
125,D,,,,,,,,,,,,,,,
126,B,,,,,,,,,,,,,,,
127,Z,,,,,,,,,,,,,,,
128,X,,,,,,,,,,,,,,,
129,T,,,,,,,,,,,,,,,
130,M,,,,,,,,,,,,,,,
131,K,,,,,,,,,,,,,,,
132,H,,,,,,,,,,,,,,,
133,E,,,,,,,,,,,,,,,
134,C,,,,,,,,,,,,,,,
135,A,,,,,,,,,,,,,,,
136,Y,,,,,,,,,,,,,,,
137,U,,,,,,,,,,,,,,,
138,S,,,,,,,,,,,,,,,
139,P,,,,,,,,,,,,,,,
140,J,,,,,,,,,,,,,,,
141,G,,,,,,,,,,,,,,,
142,D,,,,,,,,,,,,,,,
143,B,,,,,,,,,,,,,,,
144,Z,,,,,,,,,,,,,,,
145,X,,,,,,,,,,,,,,,
146,T,,,,,,,,,,,,,,,
147,R,,,,,,,,,,,,,,,
148,M,,,,,,,,,,,,,,,
149,K,,,,,,,,,,,,,,,
150,E,,,,,,,,,,,,,,,
151,C,,,,,,,,,,,,,,,
152,A,,,,,,,,,,,,,,,
153,Y,,,,,,,,,,,,,,,
154,U,,,,,,,,,,,,,,,
155,S,,,,,,,,,,,,,,,
156,P,,,,,,,,,,,,,,,
157,L,,,,,,,,,,,,,,,
158,J,,,,,,,,,,,,,,,
159,G,,,,,,,,,,,,,,,
160,B,,,,,,,,,,,,,,,
161,Z,,,,,,,,,,,,,,,
162,X,,,,,,,,,,,,,,,
163,T,,,,,,,,,,,,,,,
164,R,,,,,,,,,,,,,,,
165,M,,,,,,,,,,,,,,,
166,K,,,,,,,,,,,,,,,
167,H,,,,,,,,,,,,,,,
168,E,,,,,,,,,,,,,,,
169,C,,,,,,,,,,,,,,,
170,Y,,,,,,,,,,,,,,,
171,U,,,,,,,,,,,,,,,
172,S,,,,,,,,,,,,,,,
173,P,,,,,,,,,,,,,,,
174,L,,,,,,,,,,,,,,,
175,J,,,,,,,,,,,,,,,
176,G,,,,,,,,,,,,,,,
177,D,,,,,,,,,,,,,,,
178,B,,,,,,,,,,,,,,,
179,Z,,,,,,,,,,,,,,,
180,T,,,,,,,,,,,,,,,
181,R,,,,,,,,,,,,,,,
182,M,,,,,,,,,,,,,,,
183,K,,,,,,,,,,,,,,,
184,H,,,,,,,,,,,,,,,
185,E,,,,,,,,,,,,,,,
186,C,,,,,,,,,,,,,,,
187,A,,,,,,,,,,,,,,,
188,Y,,,,,,,,,,,,,,,
189,U,,,,,,,,,,,,,,,
190,P,,,,,,,,,,,,,,,
191,L,,,,,,,,,,,,,,,
192,J,,,,,,,,,,,,,,,
193,G,,,,,,,,,,,,,,,
194,D,,,,,,,,,,,,,,,
195,B,,,,,,,,,,,,,,,
196,Z,,,,,,,,,,,,,,,
197,X,,,,,,,,,,,,,,,
198,T,,,,,,,,,,,,,,,
199,R,,,,,,,,,,,,,,,
200,U,,,,,,,,,,,,,,,
201,S,,,,,,,,,,,,,,,
202,P,,,,,,,,,,,,,,,
203,L,,,,,,,,,,,,,,,
204,J,,,,,,,,,,,,,,,
205,G,,,,,,,,,,,,,,,
206,D,,,,,,,,,,,,,,,
207,B,,,,,,,,,,,,,,,
208,Z,,,,,,,,,,,,,,,
209,X,,,,,,,,,,,,,,,
210,R,,,,,,,,,,,,,,,
211,M,,,,,,,,,,,,,,,
212,K,,,,,,,,,,,,,,,
213,H,,,,,,,,,,,,,,,
214,E,,,,,,,,,,,,,,,
215,C,,,,,,,,,,,,,,,
216,A,,,,,,,,,,,,,,,
217,Y,,,,,,,,,,,,,,,
218,U,,,,,,,,,,,,,,,
219,S,,,,,,,,,,,,,,,
220,L,,,,,,,,,,,,,,,
221,J,,,,,,,,,,,,,,,
222,G,,,,,,,,,,,,,,,
223,D,,,,,,,,,,,,,,,
224,B,,,,,,,,,,,,,,,
225,Z,,,,,,,,,,,,,,,
226,X,,,,,,,,,,,,,,,
227,T,,,,,,,,,,,,,,,
228,R,,,,,,,,,,,,,,,
229,M,,,,,,,,,,,,,,,
230,H,,,,,,,,,,,,,,,
231,E,,,,,,,,,,,,,,,
232,C,,,,,,,,,,,,,,,
233,A,,,,,,,,,,,,,,,
234,Y,,,,,,,,,,,,,,,
235,U,,,,,,,,,,,,,,,
236,S,,,,,,,,,,,,,,,
237,P,,,,,,,,,,,,,,,
238,L,,,,,,,,,,,,,,,
239,J,,,,,,,,,,,,,,,
240,D,,,,,,,,,,,,,,,
241,B,,,,,,,,,,,,,,,
242,Z,,,,,,,,,,,,,,,
243,X,,,,,,,,,,,,,,,
244,T,,,,,,,,,,,,,,,
245,R,,,,,,,,,,,,,,,
246,M,,,,,,,,,,,,,,,
247,K,,,,,,,,,,,,,,,
248,H,,,,,,,,,,,,,,,
249,E,,,,,,,,,,,,,,,
250,A,,,,,,,,,,,,,,,
251,Y,,,,,,,,,,,,,,,
252,U,,,,,,,,,,,,,,,
253,S,,,,,,,,,,,,,,,
254,P,,,,,,,,,,,,,,,
255,L,,,,,,,,,,,,,,,
256,J,,,,,,,,,,,,,,,
257,G,,,,,,,,,,,,,,,
258,D,,,,,,,,,,,,,,,
259,B,,,,,,,,,,,,,,,
260,X,,,,,,,,,,,,,,,
261,T,,,,,,,,,,,,,,,
262,R,,,,,,,,,,,,,,,
263,M,,,,,,,,,,,,,,,
264,K,,,,,,,,,,,,,,,
265,H,,,,,,,,,,,,,,,
266,E,,,,,,,,,,,,,,,
267,C,,,,,,,,,,,,,,,
268,A,,,,,,,,,,,,,,,
269,Y,,,,,,,,,,,,,,,
270,S,,,,,,,,,,,,,,,
271,P,,,,,,,,,,,,,,,
272,L,,,,,,,,,,,,,,,
273,J,,,,,,,,,,,,,,,
274,G,,,,,,,,,,,,,,,
275,D,,,,,,,,,,,,,,,
276,B,,,,,,,,,,,,,,,
277,Z,,,,,,,,,,,,,,,
278,X,,,,,,,,,,,,,,,
279,T,,,,,,,,,,,,,,,
280,M,,,,,,,,,,,,,,,
281,K,,,,,,,,,,,,,,,
282,H,,,,,,,,,,,,,,,
283,E,,,,,,,,,,,,,,,
284,C,,,,,,,,,,,,,,,
285,A,,,,,,,,,,,,,,,
286,Y,,,,,,,,,,,,,,,
287,U,,,,,,,,,,,,,,,
288,S,,,,,,,,,,,,,,,
289,P,,,,,,,,,,,,,,,
290,J,,,,,,,,,,,,,,,
291,G,,,,,,,,,,,,,,,
292,D,,,,,,,,,,,,,,,
293,B,,,,,,,,,,,,,,,
294,Z,,,,,,,,,,,,,,,
295,X,,,,,,,,,,,,,,,
296,T,,,,,,,,,,,,,,,
297,R,,,,,,,,,,,,,,,
298,M,,,,,,,,,,,,,,,
299,K,,,,,,,,,,,,,,,
300,P,,,,,,,,,,,,,,,
301,L,,,,,,,,,,,,,,,
302,J,,,,,,,,,,,,,,,
303,G,,,,,,,,,,,,,,,
304,D,,,,,,,,,,,,,,,
305,B,,,,,,,,,,,,,,,
306,Z,,,,,,,,,,,,,,,
307,X,,,,,,,,,,,,,,,
308,T,,,,,,,,,,,,,,,
309,R,,,,,,,,,,,,,,,
310,K,,,,,,,,,,,,,,,
311,H,,,,,,,,,,,,,,,
312,E,,,,,,,,,,,,,,,
313,C,,,,,,,,,,,,,,,
314,A,,,,,,,,,,,,,,,
315,Y,,,,,,,,,,,,,,,
316,U,,,,,,,,,,,,,,,
317,S,,,,,,,,,,,,,,,
318,P,,,,,,,,,,,,,,,
319,L,,,,,,,,,,,,,,,
320,G,,,,,,,,,,,,,,,
321,D,,,,,,,,,,,,,,,
322,B,,,,,,,,,,,,,,,
323,Z,,,,,,,,,,,,,,,
324,X,,,,,,,,,,,,,,,
325,T,,,,,,,,,,,,,,,
326,R,,,,,,,,,,,,,,,
327,M,,,,,,,,,,,,,,,
328,K,,,,,,,,,,,,,,,
329,H,,,,,,,,,,,,,,,
330,C,,,,,,,,,,,,,,,
331,A,,,,,,,,,,,,,,,
332,Y,,,,,,,,,,,,,,,
333,U,,,,,,,,,,,,,,,
334,S,,,,,,,,,,,,,,,
335,P,,,,,,,,,,,,,,,
336,L,,,,,,,,,,,,,,,
337,J,,,,,,,,,,,,,,,
338,G,,,,,,,,,,,,,,,
339,D,,,,,,,,,,,,,,,
340,Z,,,,,,,,,,,,,,,
341,X,,,,,,,,,,,,,,,
342,T,,,,,,,,,,,,,,,
343,R,,,,,,,,,,,,,,,
344,M,,,,,,,,,,,,,,,
345,K,,,,,,,,,,,,,,,
346,H,,,,,,,,,,,,,,,
347,E,,,,,,,,,,,,,,,
348,C,,,,,,,,,,,,,,,
349,A,,,,,,,,,,,,,,,
350,U,,,,,,,,,,,,,,,
351,S,,,,,,,,,,,,,,,
352,P,,,,,,,,,,,,,,,
353,L,,,,,,,,,,,,,,,
354,J,,,,,,,,,,,,,,,
