#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model,
1,S,Mercedes Benz,V220 CDI EXTRA-LONG AT,,,,,,,,,,,,,,
2,P,Scania,KEB6X2/4,,,,,,,,,,,,,,
3,L,Mercedes Benz,VITO115E EU4,,,,,,,,,,,,,,
4,J,Toyota,HIACE HIGH ROOF COMMUTER TURBO AUTO,,,,,,,,,,,,,,
5,G,Scania,K124EB6X2,,,,,,,,,,,,,,
6,D,Scania,KEB6X2*4 12L MT 25T 6.2M,,,,,,,,,,,,,,
7,B,Scania,KEB6X2*4 12L MT 25T 6.2M,,,,,,,,,,,,,,
8,Z,Scania,KEB6X2*4 12L MT 25T 6.2M,,,,,,,,,,,,,,
9,X,Scania,K124EB6X2,,,,,,,,,,,,,,
10,R,Toyota,HIACE 2.5 A,,,,,,,,,,,,,,
11,M,Mercedes Benz,VITO 115E EU4,,,,,,,,,,,,,,
12,K,YuTong,ZK6107H AUTO 45 SEATER,,,,,,,,,,,,,,
13,H,Mercedes Benz,VITO115E EU4,,,,,,,,,,,,,,
14,E,King Long,XMQ6900K,,,,,,,,,,,,,,
15,C,,,,,,,,,,,,,,,,
16,A,,,,,,,,,,,,,,,,
17,Y,Golden Dragon,XML6118E1A,,,,,,,,,,,,,,
18,U,Mitsubishi,BE641JRMDEB,,,,,,,,,,,,,,
19,S,YuTong,ZK6107H AUTO 45 SEATER,,,,,,,,,,,,,,
20,L,Mercedes Benz,VITO115E EU4,,,,,,,,,,,,,,
21,J,Scania,KIB4X2,,,,,,,,,,,,,,
22,G,Scania,KEB6X2*4,,,,,,,,,,,,,,
23,D,,,,,,,,,,,,,,,,
24,B,Golden Dragon,XML6701J18,,,,,,,,,,,,,,
25,Z,Isuzu,NQR75UL5A,,,,,,,,,,,,,,
26,X,Nissan,URVAN MICROBUS 3.0 4DR 5MT ABS AIRBAG,,,,,,,,,,,,,,
27,T,Mercedes Benz,VITO 115E AT,,,,,,,,,,,,,,
28,R,Toyota,HIACE COMMUTER MANUAL,,,,,,,,,,,,,,
29,M,Isuzu,LT134P,,,,,,,,,,,,,,
30,H,Toyota,HIACE COMMUTER GL 3.0 A,,,,,,,,,,,,,,
31,E,Toyota,HIACE 3.0 A,,,,,,,,,,,,,,
32,C,Nissan,SM217L,,,,,,,,,,,,,,
33,A,Isuzu,LT434P 7.8 SMT,,,,,,,,,,,,,,
34,Y,,,,,,,,,,,,,,,,
35,U,Mercedes Benz,VITO 115E AT,,,,,,,,,,,,,,
36,S,Toyota,TOYOTA HIACE HIROOF AUTO 14 SEATER,,,,,,,,,,,,,,
37,P,Golden Dragon,XML6957J14,,,,,,,,,,,,,,
38,L,Scania,KIB4X2,,,,,,,,,,,,,,
39,J,King Long,XMQ6129K AUTO,,,,,,,,,,,,,,
40,D,YuTong,ZK 6118HGA,,,,,,,,,,,,,,
41,B,Toyota,HIACE AUTO 3.0L,,,,,,,,,,,,,,
42,Z,Toyota,TOYOTA HIACE HIROOF AUTO 14 SEATER,,,,,,,,,,,,,,
43,X,Toyota,TOYOTA HIACE HIROOF AUTO 14 SEATER,,,,,,,,,,,,,,
44,T,,,,,,,,,,,,,,,,
45,R,Mercedes Benz,VITO115E EU4,,,,,,,,,,,,,,
46,M,Toyota,TOYOTA HIACE HIROOF AUTO 14 SEATER,,,,,,,,,,,,,,
47,K,Isuzu,LT134P,,,,,,,,,,,,,,
48,H,Toyota,HIACE COMMUTER GL 3.0 A,,,,,,,,,,,,,,
49,E,Toyota,COASTER 23 SEATER ABS,,,,,,,,,,,,,,
50,A,Mercedes Benz,VITO115E EU4,,,,,,,,,,,,,,
51,Y,,,,,,,,,,,,,,,,
52,U,,,,,,,,,,,,,,,,
53,S,King Long,XMQ6117K,,,,,,,,,,,,,,
54,P,Toyota,HIACE 2.5 A,,,,,,,,,,,,,,
55,L,Scania,KEB6X2*4,,,,,,,,,,,,,,
56,J,Mitsubishi,BE641JRMDEB,,,,,,,,,,,,,,
57,G,Golden Dragon,XML6701J18,,,,,,,,,,,,,,
58,D,YuTong,ZK 6118HGA,,,,,,,,,,,,,,
59,B,YuTong,ZK6107H AUTO 45 SEATER,,,,,,,,,,,,,,
60,X,Golden Dragon,XML6103J98,,,,,,,,,,,,,,
61,T,,,,,,,,,,,,,,,,
62,R,YuTong,ZK6930H A,,,,,,,,,,,,,,
