#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,X,,,,,,,,,,,,,,,
2,T,,,,,,,,,,,,,,,
3,R,,,,,,,,,,,,,,,
4,M,,,,,,,,,,,,,,,
5,K,,,,,,,,,,,,,,,
6,H,,,,,,,,,,,,,,,
7,E,,,,,,,,,,,,,,,
8,C,,,,,,,,,,,,,,,
9,A,,,,,,,,,,,,,,,
10,U,,,,,,,,,,,,,,,
11,S,,,,,,,,,,,,,,,
12,P,,,,,,,,,,,,,,,
13,L,,,,,,,,,,,,,,,
14,J,,,,,,,,,,,,,,,
15,G,,,,,,,,,,,,,,,
16,D,,,,,,,,,,,,,,,
17,B,,,,,,,,,,,,,,,
18,Z,,,,,,,,,,,,,,,
19,X,,,,,,,,,,,,,,,
20,R,,,,,,,,,,,,,,,
21,M,,,,,,,,,,,,,,,
22,K,,,,,,,,,,,,,,,
23,H,,,,,,,,,,,,,,,
24,E,,,,,,,,,,,,,,,
25,C,,,,,,,,,,,,,,,
26,A,,,,,,,,,,,,,,,
27,Y,,,,,,,,,,,,,,,
28,U,,,,,,,,,,,,,,,
29,S,,,,,,,,,,,,,,,
30,L,,,,,,,,,,,,,,,
31,J,,,,,,,,,,,,,,,
32,G,,,,,,,,,,,,,,,
33,D,,,,,,,,,,,,,,,
34,B,,,,,,,,,,,,,,,
35,Z,,,,,,,,,,,,,,,
36,X,,,,,,,,,,,,,,,
37,T,,,,,,,,,,,,,,,
38,R,,,,,,,,,,,,,,,
39,M,,,,,,,,,,,,,,,
40,H,,,,,,,,,,,,,,,
41,E,,,,,,,,,,,,,,,
42,C,,,,,,,,,,,,,,,
43,A,,,,,,,,,,,,,,,
44,Y,,,,,,,,,,,,,,,
45,U,,,,,,,,,,,,,,,
46,S,,,,,,,,,,,,,,,
47,P,,,,,,,,,,,,,,,
48,L,,,,,,,,,,,,,,,
49,J,,,,,,,,,,,,,,,
50,D,,,,,,,,,,,,,,,
51,B,,,,,,,,,,,,,,,
52,Z,,,,,,,,,,,,,,,
53,X,,,,,,,,,,,,,,,
54,T,,,,,,,,,,,,,,,
55,R,,,,,,,,,,,,,,,
56,M,,,,,,,,,,,,,,,
57,K,,,,,,,,,,,,,,,
58,H,,,,,,,,,,,,,,,
59,E,,,,,,,,,,,,,,,
60,A,,,,,,,,,,,,,,,
61,Y,,,,,,,,,,,,,,,
62,U,,,,,,,,,,,,,,,
