#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,Z,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA172629,12Aug2032,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
2,X,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,YV3S4P928FA173196,15Sep2032,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
3,T,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
4,R,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
5,M,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
6,K,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
7,H,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
8,E,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
9,C,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
10,Y,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
11,U,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,12,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
12,S,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,43,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
13,P,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,12,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
14,L,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,43,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
15,J,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
16,G,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
17,D,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
18,B,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
19,Z,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
20,T,Volvo,B9TL,Wright Eclipse Gemini 2,Go Ahead Singapore,,,,LYDEP,??,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
21,R,Volvo,B9TL,Wright Eclipse Gemini 2,SBS Transit,,,,SLBP,154,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
22,M,Volvo,B9TL,Wright Eclipse Gemini 2,SBS Transit,,,,SLBP,255,4,ZF Ecolife 6 AP 1403 B,LECIP,Volgelsitze System 750/3,SMC Transit,Eberspächer Sütrak R 488
