#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1000,G,Mercedes Benz,Citaro,EvoBus,SBS Transit,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1001,D,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1002,B,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1003,Z,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1004,X,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1005,T,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1006,R,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1007,M,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1008,K,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1009,H,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1010,C,Mercedes Benz,Citaro,EvoBus,Tower Transit Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1011,A,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1012,Y,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1013,U,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1014,S,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1015,P,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1016,L,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1017,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1018,G,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1019,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1020,Z,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1021,X,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1022,T,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1023,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1024,M,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1025,K,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1026,H,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1027,E,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1028,C,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1029,A,Mercedes Benz,Citaro,EvoBus,LTA Storage,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1030,U,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1031,S,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1032,P,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1033,L,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1034,J,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1035,G,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1036,D,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1037,B,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1038,Z,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1039,X,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1040,R,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1041,M,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1042,K,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1043,H,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1044,E,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1045,C,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1046,A,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1047,Y,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1048,U,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1049,S,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1050,L,Mercedes Benz,Citaro,EvoBus,SMRT Buses,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1051,J,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1052,G,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
1053,D,Mercedes Benz,Citaro,EvoBus,Go Ahead Singapore,,,,,,3,Voith DIWA 854.5,LAWO HIGHLED,City Star Eco,Bode,Konvekta P800
