#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,E,Hino,RK176,Hino,Trans Island Buses,,,Demonstrator; Passed,KJDEP,167,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC
2,C,Hino,RK176,Hino,Trans Island Buses,,,,KJDEP,160,1,Allison AT 545,NA; Desto,Unknown,Unknown,NAC
3,A,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 546,NA; Desto,,,
4,Y,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 547,NA; Desto,,,
5,U,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 548,NA; Desto,,,
6,S,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 549,NA; Desto,,,
7,P,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 550,NA; Desto,,,
8,L,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 551,NA; Desto,,,
9,J,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 552,NA; Desto,,,
10,D,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 553,NA; Desto,,,
11,B,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 554,NA; Desto,,,
12,Z,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 555,NA; Desto,,,
13,X,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 556,NA; Desto,,,
14,T,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 557,NA; Desto,,,
15,R,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 558,NA; Desto,,,
16,M,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 559,NA; Desto,,,
17,K,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 560,NA; Desto,,,
18,H,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 561,NA; Desto,,,
19,E,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 562,NA; Desto,,,
20,A,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 563,NA; Desto,,,
21,Y,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 564,NA; Desto,,,
22,U,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 565,NA; Desto,,,
23,S,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 566,NA; Desto,,,
24,P,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 567,NA; Desto,,,
25,L,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 568,NA; Desto,,,
26,J,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 569,NA; Desto,,,
27,G,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 570,NA; Desto,,,
28,D,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 571,NA; Desto,,,
29,B,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 572,NA; Desto,,,
30,X,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 573,NA; Desto,,,
31,T,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 574,NA; Desto,,,
32,R,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 575,NA; Desto,,,
33,M,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 576,NA; Desto,,,
34,K,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 577,NA; Desto,,,
35,H,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 578,NA; Desto,,,
36,E,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 579,NA; Desto,,,
37,C,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 580,NA; Desto,,,
38,A,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 581,NA; Desto,,,
39,Y,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 582,NA; Desto,,,
40,S,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 583,NA; Desto,,,
41,P,Hino,RK176,Hino,Trans Island Buses,,,,,,1,Allison AT 584,NA; Desto,,,
