#ID,,Make,Model,Bodywork,Operator,Chassis ID,Reg Date,Notes,Depot,Svc,Batch,Gearbox model,EDS model,Chair model,Door model,Air Con model
1,J,,,,,,,,,,,,,,,
2,G,,,,,,,,,,,,,,,
3,D,,,,,,,,,,,,,,,
4,B,,,,,,,,,,,,,,,
5,Z,,,,,,,,,,,,,,,
6,X,,,,,,,,,,,,,,,
7,T,,,,,,,,,,,,,,,
8,R,,,,,,,,,,,,,,,
9,M,,,,,,,,,,,,,,,
10,H,,,,,,,,,,,,,,,
11,E,,,,,,,,,,,,,,,
12,C,,,,,,,,,,,,,,,
13,A,,,,,,,,,,,,,,,
14,Y,,,,,,,,,,,,,,,
15,U,,,,,,,,,,,,,,,
16,S,,,,,,,,,,,,,,,
17,P,,,,,,,,,,,,,,,
18,L,,,,,,,,,,,,,,,
19,J,,,,,,,,,,,,,,,
20,D,,,,,,,,,,,,,,,
21,B,,,,,,,,,,,,,,,
22,Z,,,,,,,,,,,,,,,
23,X,,,,,,,,,,,,,,,
24,T,,,,,,,,,,,,,,,
25,R,,,,,,,,,,,,,,,
26,M,,,,,,,,,,,,,,,
27,K,,,,,,,,,,,,,,,
28,H,,,,,,,,,,,,,,,
29,E,,,,,,,,,,,,,,,
30,A,,,,,,,,,,,,,,,
31,Y,,,,,,,,,,,,,,,
32,U,,,,,,,,,,,,,,,
33,S,,,,,,,,,,,,,,,
34,P,,,,,,,,,,,,,,,
35,L,,,,,,,,,,,,,,,
36,J,,,,,,,,,,,,,,,
37,G,,,,,,,,,,,,,,,
38,D,,,,,,,,,,,,,,,
39,B,,,,,,,,,,,,,,,
40,X,,,,,,,,,,,,,,,
41,T,,,,,,,,,,,,,,,
42,R,,,,,,,,,,,,,,,
43,M,,,,,,,,,,,,,,,
44,K,,,,,,,,,,,,,,,
45,H,,,,,,,,,,,,,,,
46,E,,,,,,,,,,,,,,,
47,C,,,,,,,,,,,,,,,
48,A,,,,,,,,,,,,,,,
49,Y,,,,,,,,,,,,,,,
50,S,,,,,,,,,,,,,,,
51,P,,,,,,,,,,,,,,,
52,L,,,,,,,,,,,,,,,
53,J,,,,,,,,,,,,,,,
54,G,,,,,,,,,,,,,,,
55,D,,,,,,,,,,,,,,,
56,B,,,,,,,,,,,,,,,
57,Z,,,,,,,,,,,,,,,
58,X,,,,,,,,,,,,,,,
59,T,,,,,,,,,,,,,,,
60,M,,,,,,,,,,,,,,,
61,K,,,,,,,,,,,,,,,
62,H,,,,,,,,,,,,,,,
63,E,,,,,,,,,,,,,,,
64,C,,,,,,,,,,,,,,,
65,A,,,,,,,,,,,,,,,
66,Y,,,,,,,,,,,,,,,
67,U,,,,,,,,,,,,,,,
68,S,,,,,,,,,,,,,,,
69,P,,,,,,,,,,,,,,,
70,J,,,,,,,,,,,,,,,
71,G,,,,,,,,,,,,,,,
72,D,,,,,,,,,,,,,,,
73,B,,,,,,,,,,,,,,,
74,Z,,,,,,,,,,,,,,,
75,X,,,,,,,,,,,,,,,
76,T,,,,,,,,,,,,,,,
77,R,,,,,,,,,,,,,,,
78,M,,,,,,,,,,,,,,,
79,K,,,,,,,,,,,,,,,
80,E,,,,,,,,,,,,,,,
81,C,,,,,,,,,,,,,,,
82,A,,,,,,,,,,,,,,,
83,Y,,,,,,,,,,,,,,,
84,U,,,,,,,,,,,,,,,
85,S,,,,,,,,,,,,,,,
86,P,,,,,,,,,,,,,,,
87,L,,,,,,,,,,,,,,,
88,J,,,,,,,,,,,,,,,
89,G,,,,,,,,,,,,,,,
90,B,,,,,,,,,,,,,,,
91,Z,,,,,,,,,,,,,,,
92,X,,,,,,,,,,,,,,,
93,T,,,,,,,,,,,,,,,
94,R,,,,,,,,,,,,,,,
95,M,,,,,,,,,,,,,,,
96,K,,,,,,,,,,,,,,,
97,H,,,,,,,,,,,,,,,
98,E,,,,,,,,,,,,,,,
99,C,,,,,,,,,,,,,,,
100,G,,,,,,,,,,,,,,,
101,D,,,,,,,,,,,,,,,
102,B,,,,,,,,,,,,,,,
103,Z,,,,,,,,,,,,,,,
104,X,,,,,,,,,,,,,,,
105,T,,,,,,,,,,,,,,,
106,R,,,,,,,,,,,,,,,
107,M,,,,,,,,,,,,,,,
108,K,,,,,,,,,,,,,,,
109,H,,,,,,,,,,,,,,,
